ticker,name,sector,market
2208.T,ブルボン,食料品,スタンダード
2209.T,井村屋グループ,食料品,プライム
2211.T,不二家,食料品,プライム
2212.T,山崎製パン,食料品,プライム
2215.T,第一屋製パン,食料品,スタンダード
2216.T,カンロ,食料品,スタンダード
2217.T,モロゾフ,食料品,プライム
2220.T,亀田製菓,食料品,プライム
2221.T,岩塚製菓,食料品,スタンダード
2222.T,寿スピリッツ,食料品,プライム
2224.T,コモ,食料品,スタンダード
2226.T,湖池屋,食料品,スタンダード
2229.T,カルビー,食料品,プライム
2264.T,森永乳業,食料品,プライム
2266.T,六甲バター,食料品,プライム
2267.T,ヤクルト本社,食料品,プライム
2268.T,Ｂ－Ｒ　サーティワン　アイスクリーム,食料品,スタンダード
2269.T,明治ホールディングス,食料品,プライム
2270.T,雪印メグミルク,食料品,プライム
2281.T,プリマハム,食料品,プライム
2282.T,日本ハム,食料品,プライム
2286.T,林兼産業,食料品,スタンダード
2288.T,丸大食品,食料品,プライム
2291.T,福留ハム,食料品,スタンダード
2292.T,Ｓ　Ｆｏｏｄｓ,食料品,プライム
2293.T,滝沢ハム,食料品,スタンダード
2294.T,柿安本店,食料品,プライム
2296.T,伊藤ハム米久ホールディングス,食料品,プライム
2300.T,きょくとう,サービス業,スタンダード
2301.T,学情,サービス業,プライム
2303.T,ドーン,情報・通信業,スタンダード
2304.T,ＣＳＳホールディングス,サービス業,スタンダード
2305.T,スタジオアリス,サービス業,スタンダード
2307.T,クロスキャット,情報・通信業,プライム
2311.T,エプコ,サービス業,スタンダード
2315.T,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,情報・通信業,スタンダード
2317.T,システナ,情報・通信業,プライム
2321.T,ソフトフロントホールディングス,情報・通信業,グロース
2323.T,ｆｏｎｆｕｎ,情報・通信業,スタンダード
2325.T,ＮＪＳ,サービス業,プライム
2326.T,デジタルアーツ,情報・通信業,プライム
2327.T,日鉄ソリューションズ,情報・通信業,プライム
2329.T,東北新社,情報・通信業,スタンダード
2330.T,フォーサイド,情報・通信業,スタンダード
2331.T,ＡＬＳＯＫ,サービス業,プライム
2332.T,クエスト,情報・通信業,スタンダード
2334.T,イオレ,サービス業,グロース
2335.T,キューブシステム,情報・通信業,プライム
2337.T,いちご,不動産業,プライム
2338.T,クオンタムソリューションズ,情報・通信業,スタンダード
2340.T,極楽湯ホールディングス,サービス業,スタンダード
2341.T,アルバイトタイムス,サービス業,スタンダード
2342.T,トランスジェニックグループ,サービス業,グロース
2344.T,平安レイサービス,サービス業,スタンダード
2345.T,クシム,情報・通信業,スタンダード
2349.T,エヌアイデイ,情報・通信業,スタンダード
2351.T,ＡＳＪ,情報・通信業,グロース
2353.T,日本駐車場開発,不動産業,プライム
2354.T,ＹＥ　ＤＩＧＩＴＡＬ,情報・通信業,スタンダード
2359.T,コア,情報・通信業,プライム
2370.T,メディネット,サービス業,グロース
2371.T,カカクコム,サービス業,プライム
2373.T,ケア２１,サービス業,スタンダード
2374.T,セントケア・ホールディング,サービス業,プライム
2375.T,ギグワークス,サービス業,スタンダード
2376.T,サイネックス,サービス業,スタンダード
2378.T,ルネサンス,サービス業,プライム
2379.T,ディップ,サービス業,プライム
2384.T,ＳＢＳホールディングス,陸運業,プライム
2385.T,総医研ホールディングス,サービス業,グロース
2388.T,ウェッジホールディングス,その他金融業,グロース
2389.T,デジタルホールディングス,サービス業,プライム
2391.T,プラネット,サービス業,スタンダード
2393.T,日本ケアサプライ,サービス業,スタンダード
2395.T,新日本科学,サービス業,プライム
2404.T,鉄人化ホールディングス,サービス業,スタンダード
2408.T,ＫＧ情報,サービス業,スタンダード
2410.T,キャリアデザインセンター,サービス業,プライム
2411.T,ゲンダイエージェンシー,情報・通信業,スタンダード
2413.T,エムスリー,サービス業,プライム
2415.T,ヒューマンホールディングス,サービス業,スタンダード
2418.T,ツカダ・グローバルホールディング,サービス業,スタンダード
2424.T,ブラス,サービス業,スタンダード
2425.T,ケアサービス,サービス業,スタンダード
2428.T,ウェルネット,サービス業,スタンダード
2429.T,ワールドホールディングス,サービス業,プライム
2432.T,ディー・エヌ・エー,情報・通信業,プライム
2433.T,博報堂ＤＹホールディングス,サービス業,プライム
2435.T,シダー,サービス業,スタンダード
2436.T,共同ピーアール,サービス業,スタンダード
2437.T,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,サービス業,スタンダード
2438.T,アスカネット,サービス業,グロース
2440.T,ぐるなび,サービス業,スタンダード
2445.T,タカミヤ,サービス業,プライム
2449.T,プラップジャパン,サービス業,スタンダード
2454.T,オールアバウト,サービス業,スタンダード
2459.T,アウンコンサルティング,サービス業,スタンダード
2461.T,ファンコミュニケーションズ,サービス業,プライム
2462.T,ライク,サービス業,プライム
2464.T,Ａｏｂａ‐ＢＢＴ,サービス業,スタンダード
2469.T,ヒビノ,サービス業,スタンダード
2471.T,エスプール,サービス業,プライム
2475.T,ＷＤＢホールディングス,サービス業,プライム
2477.T,手間いらず,情報・通信業,スタンダード
2479.T,ジェイテック,サービス業,スタンダード
2480.T,システム・ロケーション,情報・通信業,スタンダード
2481.T,タウンニュース社,サービス業,スタンダード
2483.T,翻訳センター,サービス業,スタンダード
2484.T,出前館,情報・通信業,スタンダード
2485.T,ティア,サービス業,スタンダード
2488.T,ＪＴＰ,サービス業,スタンダード
2489.T,アドウェイズ,サービス業,スタンダード
2491.T,バリューコマース,サービス業,プライム
2492.T,インフォマート,サービス業,プライム
2493.T,イーサポートリンク,サービス業,スタンダード
2497.T,ユナイテッド,サービス業,グロース
2498.T,オリエンタルコンサルタンツホールディングス,サービス業,スタンダード
2499.T,日本和装ホールディングス,サービス業,スタンダード
2501.T,サッポロホールディングス,食料品,プライム
2502.T,アサヒグループホールディングス,食料品,プライム
2503.T,キリンホールディングス,食料品,プライム
2531.T,宝ホールディングス,食料品,プライム
2533.T,オエノンホールディングス,食料品,プライム
2540.T,養命酒製造,食料品,プライム
2573.T,北海道コカ・コーラボトリング,食料品,スタンダード
2579.T,コカ・コーラ　ボトラーズジャパンホールディングス,食料品,プライム
2585.T,ライフドリンク　カンパニー,食料品,プライム
2586.T,フルッタフルッタ,食料品,グロース
2587.T,サントリー食品インターナショナル,食料品,プライム
2588.T,プレミアムウォーターホールディングス,食料品,スタンダード
2590.T,ダイドーグループホールディングス,食料品,プライム
2593.T,伊藤園,食料品,プライム
25935.T,伊藤園第１種優先株式,食料品,プライム
2594.T,キーコーヒー,食料品,プライム
2597.T,ユニカフェ,食料品,スタンダード
2602.T,日清オイリオグループ,食料品,プライム
2607.T,不二製油,食料品,プライム
2612.T,かどや製油,食料品,スタンダード
2613.T,Ｊ－オイルミルズ,食料品,プライム
2652.T,まんだらけ,小売業,スタンダード
2653.T,イオン九州,小売業,スタンダード
2654.T,アスモ,小売業,スタンダード
2656.T,ベクターホールディングス,小売業,スタンダード
2659.T,サンエー,小売業,プライム
2664.T,カワチ薬品,小売業,プライム
2666.T,オートウェーブ,小売業,スタンダード
2667.T,イメージ　ワン,卸売業,スタンダード
2668.T,タビオ,卸売業,スタンダード
2669.T,カネ美食品,小売業,スタンダード
2670.T,エービーシー・マート,小売業,プライム
2673.T,夢みつけ隊,小売業,スタンダード
2674.T,ハードオフコーポレーション,小売業,プライム
2676.T,高千穂交易,卸売業,プライム
2678.T,アスクル,小売業,プライム
2681.T,ゲオホールディングス,小売業,プライム
2683.T,魚喜,小売業,スタンダード
2685.T,アンドエスティＨＤ,小売業,プライム
2686.T,ジーフット,小売業,スタンダード
2687.T,シー・ヴイ・エス・ベイエリア,サービス業,スタンダード
2689.T,オルバヘルスケアホールディングス,卸売業,スタンダード
2692.T,伊藤忠食品,卸売業,プライム
2693.T,ＹＫＴ,卸売業,スタンダード
2694.T,焼肉坂井ホールディングス,小売業,スタンダード
2695.T,くら寿司,小売業,プライム
2698.T,キャンドゥ,小売業,スタンダード
2700.T,木徳神糧,卸売業,スタンダード
2702.T,日本マクドナルドホールディングス,小売業,スタンダード
2705.T,大戸屋ホールディングス,小売業,スタンダード
2708.T,久世,卸売業,スタンダード
2721.T,ジェイホールディングス,卸売業,スタンダード
2722.T,ＩＫホールディングス,小売業,スタンダード
2726.T,パルグループホールディングス,小売業,プライム
2730.T,エディオン,小売業,プライム
2733.T,あらた,卸売業,プライム
2734.T,サーラコーポレーション,小売業,プライム
2735.T,ワッツ,小売業,スタンダード
2736.T,フェスタリアホールディングス,小売業,スタンダード
2737.T,トーメンデバイス,卸売業,プライム
2742.T,ハローズ,小売業,プライム
2747.T,北雄ラッキー,小売業,スタンダード
2749.T,ＪＰホールディングス,サービス業,プライム
2750.T,石光商事,卸売業,スタンダード
2751.T,テンポスホールディングス,卸売業,スタンダード
2752.T,フジオフードグループ本社,小売業,プライム
2753.T,あみやき亭,小売業,プライム
2760.T,東京エレクトロン　デバイス,卸売業,プライム
2762.T,ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ　ＦＯＯＤＳ,小売業,スタンダード
2763.T,エフティグループ,卸売業,スタンダード
2764.T,ひらまつ,小売業,スタンダード
2767.T,円谷フィールズホールディングス,卸売業,プライム
2768.T,双日,卸売業,プライム
2769.T,ヴィレッジヴァンガードコーポレーション,小売業,スタンダード
2776.T,新都ホールディングス,卸売業,スタンダード
2778.T,パレモ・ホールディングス,小売業,スタンダード
2780.T,コメ兵ホールディングス,小売業,スタンダード
2782.T,セリア,小売業,スタンダード
2784.T,アルフレッサ　ホールディングス,卸売業,プライム
2788.T,アップルインターナショナル,卸売業,スタンダード
2789.T,カルラ,小売業,スタンダード
2790.T,ナフコ,小売業,スタンダード
2791.T,大黒天物産,小売業,プライム
2792.T,ハニーズホールディングス,小売業,プライム
2795.T,日本プリメックス,卸売業,スタンダード
2796.T,ファーマライズホールディングス,小売業,スタンダード
2798.T,ワイズテーブルコーポレーション,小売業,スタンダード
2801.T,キッコーマン,食料品,プライム
2802.T,味の素,食料品,プライム
2804.T,ブルドックソース,食料品,プライム
2805.T,ヱスビー食品,食料品,スタンダード
2806.T,ユタカフーズ,食料品,スタンダード
2809.T,キユーピー,食料品,プライム
2810.T,ハウス食品グループ本社,食料品,プライム
2811.T,カゴメ,食料品,プライム
2813.T,和弘食品,食料品,スタンダード
2814.T,佐藤食品工業,食料品,スタンダード
2815.T,アリアケジャパン,食料品,プライム
2816.T,ダイショー,食料品,スタンダード
2818.T,ピエトロ,食料品,スタンダード
2819.T,エバラ食品工業,食料品,スタンダード
2820.T,やまみ,食料品,スタンダード
2831.T,はごろもフーズ,食料品,スタンダード
2871.T,ニチレイ,食料品,プライム
2872.T,セイヒョー,食料品,スタンダード
2874.T,横浜冷凍,卸売業,プライム
2875.T,東洋水産,食料品,プライム
2876.T,デルソーレ,食料品,スタンダード
2877.T,日東ベスト,食料品,スタンダード
2882.T,イートアンドホールディングス,食料品,プライム
2883.T,大冷,食料品,スタンダード
2884.T,ヨシムラ・フード・ホールディングス,食料品,プライム
2892.T,日本食品化工,食料品,スタンダード
2894.T,石井食品,食料品,スタンダード
2897.T,日清食品ホールディングス,食料品,プライム
2901.T,ウェルディッシュ,食料品,スタンダード
2903.T,シノブフーズ,食料品,スタンダード
2904.T,一正蒲鉾,食料品,スタンダード
2907.T,あじかん,食料品,スタンダード
2908.T,フジッコ,食料品,プライム
2910.T,ロック・フィールド,食料品,プライム
2911.T,旭松食品,食料品,スタンダード
2914.T,日本たばこ産業,食料品,プライム
2915.T,ケンコーマヨネーズ,食料品,プライム
2916.T,仙波糖化工業,食料品,スタンダード
2917.T,大森屋,食料品,スタンダード
2918.T,わらべや日洋ホールディングス,食料品,プライム
2922.T,なとり,食料品,プライム
2923.T,サトウ食品,食料品,スタンダード
2924.T,イフジ産業,食料品,スタンダード
2926.T,篠崎屋,食料品,スタンダード
2927.T,ＡＦＣ－ＨＤアムスライフサイエンス,食料品,スタンダード
2929.T,ファーマフーズ,食料品,プライム
2930.T,北の達人コーポレーション,化学,プライム
2931.T,ユーグレナ,食料品,プライム
2932.T,ＳＴＩフードホールディングス,食料品,スタンダード
2933.T,紀文食品,食料品,プライム
2934.T,ジェイフロンティア,食料品,グロース
2935.T,ピックルスホールディングス,食料品,プライム
2936.T,ベースフード,食料品,グロース
2937.T,サンクゼール,食料品,グロース
2938.T,オカムラ食品工業,食料品,スタンダード
2961.T,日本調理機,金属製品,スタンダード
2962.T,テクニスコ,金属製品,スタンダード
2970.T,ＧＬＣ　ＧＲＯＵＰ,不動産業,スタンダード
2975.T,スター・マイカ・ホールディングス,不動産業,プライム
2978.T,ツクルバ,不動産業,グロース
2980.T,ＳＲＥホールディングス,不動産業,プライム
2981.T,ランディックス,不動産業,グロース
2982.T,ＡＤワークスグループ,不動産業,プライム
2983.T,アールプランナー,不動産業,グロース
2984.T,ヤマイチエステート,不動産業,スタンダード
2986.T,ＬＡホールディングス,不動産業,グロース
2991.T,ランドネット,不動産業,スタンダード
2993.T,長栄,不動産業,スタンダード
2997.T,ストレージ王,不動産業,グロース
2998.T,クリアル,不動産業,グロース
2999.T,ホームポジション,不動産業,スタンダード
3001.T,片倉工業,繊維製品,スタンダード
3002.T,グンゼ,繊維製品,プライム
3003.T,ヒューリック,不動産業,プライム
3004.T,神栄,卸売業,スタンダード
3010.T,ポラリス・ホールディングス,サービス業,スタンダード
3011.T,バナーズ,小売業,スタンダード
3020.T,アプライド,小売業,スタンダード
3021.T,パシフィックネット,サービス業,スタンダード
3023.T,ラサ商事,卸売業,スタンダード
3024.T,クリエイト,卸売業,スタンダード
3028.T,アルペン,小売業,プライム
3030.T,ハブ,小売業,スタンダード
3031.T,ラクーンホールディングス,情報・通信業,プライム
3034.T,クオールホールディングス,小売業,プライム
